Takeoff Date/Time,Pilot,Sensor,Site,Data Location,Data Upload Status,Drone Logbook Log,dGPS Data,Data Processing Status,Data Processing Assignment,Priority,Notes,Data Quality Notes
5/24/2022,Maddie,ACRO_1,Fortress Basin,22_144,,Complete,,,,,"used PPP from 21_159, ended Canadian ridge flight 1 transect early due to film crew",Sporadic snow during dead tree flight
5/20/2022,Maddie,ACRO_1,Forest Tower,22_140,Complete,Complete,,,,,,"Cleary sky while flying, intermittent blizzard throughout day"
5/17/2022,Maddie,ACRO_1,Forest Tower,22_137,Complete,Complete,,,,,,On and off snow fallign during flights - captured 3 to try and mitigate the effect of snow on LiDAR
5/10/2022,Maddie,ACRO_1,Forest Tower,22_130,Complete,Complete,,Complete,Maddie,,used PPP from 21_159,"Post-snow flight of Forest tower, gusty and blowing snow/snowing sporadically during flight"
5/6/2022,Maddie,ACRO_1,Forest Tower,22_126,Complete,Complete,,Complete,Maddie,,used PPP from 21_159,"Pre-snow flight of Forest tower, gusty while flying"
5/3/2022,Maddie,ACRO_1,Fortress Basin/Cornice,22_123,Complete,Complete,,Complete,Maddie,,"used PPP from 21_159, also collected Mavic flight of cornice",Great quality flight of basin
4/28/2022,Maddie,ACRO_1,Fortress/Forest Tower,22_118_2,Complete,Complete,,Complete,Maddie,,"used PPP from 21_159, only collected data over forest tower and canadian ridge",
4/28/2022,Phillip,miniVUX1,LFCE-feedlot,22_118_1,Complete,Pending,Pending Upload,,,,use PPP from 22_056 for PPK,
4/25/2022,Phillip,DuetT,LFCE-Forage,22_115,Complete,Pending,,,,,used PPP from 22_056 for PPK,
4/25/2022,Phillip,DuetT,LFCE-Corn,22_116,Complete,Pending,,,,,used PPP from 22_056 for PPK,
4/25/2022,Phillip,DuetT,LFCE-Barley,22_117,Complete,Pending,,,,,used PPP from 22_056 for PPK,
4/20/2022,Maddie,ACRO_1,Fortress/Forest Tower,22_110,Complete,Complete,,Complete,Maddie,,"used PPP from 21_159, collected data over forest tower, fortress ridge and dead tree","Snowy conditions for fortress ridge and dead tree, did not fly canadian ridge due to snow/LiDAR not connecting to computer"
4/14/2022,Phillip,miniVUX1,LFCE-feedlot,22_104,Pending Upload,Pending,Pending Upload,Pending,,,use PPP from 22_056 for PPK,
4/6/2022,Maddie,ACRO_1,Fortress/Forest Tower,22_096,Complete,Complete,,Complete,Maddie,,used PPP from 21_159,Some blowing snow for forest tower site (windy at beginning of day)
3/30/2022,Phillip,DuetT,LFCE-Forage,22_089,Complete,Complete,Processed,,,,used PPP from 22_056 for PPK,
3/30/2022,Phillip,DuetT,LFCE-Corn,22_089,Complete,Complete,Processed,,,,used PPP from 22_056 for PPK,
3/30/2022,Phillip,DuetT,LFCE-Barley,22_089,Complete,Complete,Processed,Complete,,,used PPP from 22_056 for PPK,
3/23/2022,Maddie,ACRO_1,Fortress (contd),22_082,Pending Upload,Complete,Pending Upload,Complete,Maddie,,"remiander of Canadian Ridge flight from March 22, 2022, used PPP from 21_159, ",
3/22/2022,Maddie,ACRO_1,Fortress/Forest Tower,22_081,Complete,Complete,Pending Upload,Complete,Maddie,,"collected all of Fortress basin but 2/3 of Canadian Ridge, whcih was collected the next day, used PPP from 21_159, ",
3/15/2022,Phillip,ACRO_1,LFCE-Barley,22_074_a4,Pending Upload,Complete,Pending Upload,,,,"use PPP for second file in 22_074,  RGB missing due to full SD card, tetracam data skipping images due to time lag on camera trigger defaults likely",
3/15/2022,Phillip,ACRO_1,LFCE-Corn,22_074_a3,Pending Upload,Complete,Pending Upload,,,,"use PPP for second file in 22_074,  RGB missing due to full SD card, tetracam data skipping images due to time lag on camera trigger defaults likely",
3/15/2022,Phillip,ACRO_1,LFCE-Forage,22_074_a2,Pending Upload,Complete,Pending Upload,,,,"use PPP for second file in 22_074,  RGB missing due to full SD card",
3/15/2022,Phillip,ACRO_1,Broderick-ADF,22_074_a1,Pending Upload,Complete,Pending Upload,,,,"use PPP for first file in 22_074,  4 flights total but first 2 GNSS base was off so only process last 2, RGB missing due to full SD card",
3/14/2022,Phillip,MS-1000-1,Harder Acreage,22_073,Pending Upload,Complete,Pending Upload,,,,,
3/14/2022,Phillip,ACRO_1,Harder Acreage,22_073,Pending Upload,Complete,Pending Upload,Complete,,,use PPP from 22_056,
3/9/2022,Maddie,ACRO_2,Fortress,22_068,Complete,Complete,,Complete,Maddie,,"used PPP from 21_159, data good from Forest Tower, Fortress ridge","Started to snow, expect noise in point cloud"
3/7/2022,Maddie,ACRO_2,Forest Tower,22_066,Complete,Complete,,Complete,Maddie,,used PPP from 21_159,
2/25/2022,Maddie,DuetT,LFCE-Corn,22_056,Pending Upload,Complete,,,,,"use PPP from 22_056, no PPK for EbeeX due to unapplied license",
2/25/2022,Maddie,ACRO_1,LFCE-Corn,22_056,Complete,Complete,,,,,mutliple training flights no data to process,
2/25/2022,Maddie,ACRO_1,LFCE-Barley,22_056,Complete,Complete,,,,,"use PPP from 22_056,",
2/24/2022,Maddie,DuetT,Harder Acreage,22_055,Pending Upload,Pending,,,,,"use PPP from 22_056, no PPK for EbeeX due to unapplied license, training flight",
2/24/2022,Phillip,DuetT,Harder Acreage,22_055,Pending Upload,Pending,,,,,"use PPP from 22_056, no PPK for EbeeX due to unapplied license",
2/16/2022,Phillip,ACRO_2,Fortess Basin,22_047,Complete,Complete,,Complete,Phillip,,"used PPP from 21_159, 9 flights total, macaw not uploaded",
2/16/2022,Phillip,ACRO_2,Fortess-Forest Tower Ridge,22_047,Complete,Complete,,Complete,Phillip,,"used PPP from 21_159, macaw not uploaded with sensitivity on for first 2 flightsd and off for 3rd",
2/14/2022,Phillip,ACRO_2,Fortess-Forest Tower Ridge,22_045,Complete,Complete,,,,,"used PPP from 21_159, macaw not uploaded",
1/27/2022,Phillip,DuetT,Harder Acreage,22_27,Pending Upload,Pending,,,,,"used PPP from 21_159 ,test flight of new EbeeX",
11/9/2021,Phillip,MS-1000-1,Harder Acreage,21_313,Complete,Pending,N/A,,,,,
10/26/2021,Phillip,ACRO_1,LFCE-Slough,21_299,Complete,Pending,Pending Upload,Complete,Alistair,,Lidar complete/spike anomaly in data/ colorization of pts not working-data sent to riegl,
10/18/2021,Phillip,ACRO_1,Ducks Unlimited -Chappell Marsh,21_291,Complete,Pending,Processed,Complete,Alistair,,** FLIGHT BEING  REPROCESSED**  lidar complete -sunshade in camera view - sunshade wiggled loose and fell off during flight ,
9/9/2021,Phillip,ACRO_1,LFCE-Corn,21_252,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056  - Lidar and RGB camera processed - MACAW not completed,
9/9/2021,Phillip,ACRO_1,LFCE-Forage,21_252,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056  - Lidar and RGB camera processed - MACAW not completed,
9/9/2021,Phillip,ACRO_1,LFCE-Barley,21_252,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056  - Lidar and RGB camera processed - MACAW not completed,
8/19/2021,Greg,Sequoia,Peyto Glacier,21_231,Complete,N/A,Processed,Complete,Phillip,,,
8/19/2021,Greg,DuetT,Peyto Glacier,21_231,Complete,N/A,Processed,Complete,Phillip,,,
8/18/2021,Greg,ACRO_2,Fortress,21_230,Complete,,,Complete,Alistair,,,
